Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25200.000000,25200.000000,24100.000000,24100.000000,20862.660156,15346950
2016-01-05,24040.000000,24360.000000,23720.000000,24160.000000,20914.597656,10800100
2016-01-06,24160.000000,24160.000000,23360.000000,23500.000000,20343.255859,18337600
2016-01-07,23320.000000,23660.000000,23020.000000,23260.000000,20135.496094,14119400
2016-01-08,23260.000000,23720.000000,23260.000000,23420.000000,20274.003906,12888150
2016-01-11,23120.000000,23320.000000,22920.000000,23040.000000,19945.050781,12063850
2016-01-12,22960.000000,23320.000000,22880.000000,22920.000000,19841.167969,10314150
2016-01-13,23060.000000,23180.000000,22960.000000,22960.000000,19875.794922,7165800
2016-01-14,22620.000000,22840.000000,22620.000000,22760.000000,19702.660156,10451100
2016-01-15,22800.000000,23040.000000,22480.000000,22640.000000,19598.777344,10473200
2016-01-18,21760.000000,22660.000000,21760.000000,22520.000000,19494.900391,16010700
2016-01-19,22560.000000,23420.000000,22560.000000,23420.000000,20274.003906,10362100
2016-01-20,23200.000000,23200.000000,22640.000000,22760.000000,19702.660156,8352600
2016-01-21,22660.000000,23100.000000,22500.000000,22620.000000,19581.468750,9517600
2016-01-22,22900.000000,23360.000000,22900.000000,23360.000000,20222.062500,7376400
2016-01-25,23440.000000,23520.000000,23120.000000,23240.000000,20118.183594,7995650
2016-01-26,23100.000000,23140.000000,22720.000000,22740.000000,19685.349609,7619950
2016-01-27,22520.000000,23500.000000,22520.000000,23500.000000,20343.255859,13811850
2016-01-28,23280.000000,23360.000000,22780.000000,22900.000000,19823.855469,15795600
2016-01-29,22800.000000,23000.000000,22320.000000,23000.000000,19910.419922,21849150
2016-02-01,23040.000000,23260.000000,23020.000000,23260.000000,20135.496094,12998950
2016-02-02,23220.000000,23320.000000,22940.000000,23120.000000,20014.302734,8317400
2016-02-03,23000.000000,23040.000000,22740.000000,22920.000000,19841.167969,8725350
2016-02-04,23000.000000,23220.000000,22960.000000,23120.000000,20014.302734,12397950
2016-02-05,23120.000000,23380.000000,23120.000000,23280.000000,20152.816406,9404700
2016-02-11,22360.000000,22740.000000,22360.000000,22600.000000,19564.150391,15263100
2016-02-12,22600.000000,23020.000000,22440.000000,22600.000000,19564.150391,12811600
2016-02-15,23080.000000,23200.000000,22880.000000,23080.000000,19979.671875,9157300
2016-02-16,23160.000000,23580.000000,23140.000000,23360.000000,20222.062500,9020050
2016-02-17,23580.000000,24020.000000,23380.000000,23700.000000,20516.386719,12303100
2016-02-18,24060.000000,24060.000000,23560.000000,23740.000000,20551.019531,11124050
2016-02-19,23740.000000,23900.000000,23480.000000,23800.000000,20602.960938,8842600
2016-02-22,23800.000000,23840.000000,23320.000000,23500.000000,20343.255859,8744950
2016-02-23,23580.000000,23780.000000,23460.000000,23620.000000,20447.136719,7383700
2016-02-24,23560.000000,23580.000000,23220.000000,23440.000000,20291.318359,7024200
2016-02-25,23440.000000,23740.000000,23440.000000,23580.000000,20412.509766,6681750
2016-02-26,23600.000000,23740.000000,23440.000000,23440.000000,20291.318359,8867200
2016-02-29,23580.000000,23880.000000,23520.000000,23560.000000,20395.193359,14434000
2016-03-02,24000.000000,24140.000000,23920.000000,23940.000000,20724.152344,11818600
2016-03-03,24260.000000,24400.000000,24040.000000,24400.000000,21122.359375,10949550
2016-03-04,24400.000000,24560.000000,24040.000000,24300.000000,21035.792969,10074500
2016-03-07,24400.000000,24620.000000,24300.000000,24460.000000,21174.304688,6568800
2016-03-08,24460.000000,24480.000000,23720.000000,23840.000000,20637.583984,10810100
2016-03-09,23760.000000,23980.000000,23540.000000,23880.000000,20672.210938,9169000
2016-03-10,24160.000000,24720.000000,24020.000000,24500.000000,21208.927734,14177000
