Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,304000.000000,304500.000000,298000.000000,298000.000000,297573.687500,678531
2020-11-10,287000.000000,288000.000000,282000.000000,283000.000000,282595.125000,1728995
2020-11-11,281000.000000,283000.000000,277500.000000,280000.000000,279599.437500,1183499
2020-11-12,283000.000000,285500.000000,279000.000000,279000.000000,278600.843750,1016673
2020-11-13,277500.000000,282000.000000,277500.000000,281000.000000,280598.000000,710865
2020-11-16,282500.000000,283000.000000,277500.000000,278000.000000,277602.281250,887878
2020-11-17,277500.000000,278000.000000,273500.000000,275000.000000,274606.562500,816320
2020-11-18,274500.000000,283500.000000,274000.000000,281000.000000,280598.000000,912899
2020-11-19,282500.000000,284000.000000,279500.000000,280500.000000,280098.718750,520114
2020-11-20,281500.000000,283500.000000,278500.000000,281000.000000,280598.000000,439077
2020-11-23,282000.000000,282500.000000,278500.000000,281500.000000,281097.281250,565213
2020-11-24,281500.000000,287000.000000,280000.000000,282500.000000,282095.843750,809745
2020-11-25,287000.000000,287000.000000,278500.000000,278500.000000,278101.562500,909937
2020-11-26,280000.000000,285500.000000,280000.000000,285500.000000,285091.562500,797094
2020-11-27,287000.000000,287500.000000,283000.000000,284500.000000,284093.000000,417510
2020-11-30,286000.000000,286500.000000,277500.000000,277500.000000,277103.000000,1176272
2020-12-01,282000.000000,286000.000000,280000.000000,285500.000000,285091.562500,709278
2020-12-02,287000.000000,287000.000000,282000.000000,283500.000000,283094.406250,601596
2020-12-03,285000.000000,287000.000000,283500.000000,287000.000000,286589.406250,740985
2020-12-04,287500.000000,295500.000000,284500.000000,294000.000000,293579.406250,1174932
2020-12-07,300000.000000,300500.000000,288000.000000,289500.000000,289085.843750,821860
2020-12-08,291500.000000,291500.000000,285000.000000,285000.000000,284592.281250,566981
2020-12-09,285500.000000,289000.000000,285000.000000,288000.000000,287587.968750,533304
2020-12-10,288000.000000,290000.000000,284500.000000,286000.000000,285590.843750,959427
2020-12-11,288000.000000,291500.000000,287500.000000,290000.000000,289585.125000,503588
2020-12-14,292500.000000,294000.000000,286000.000000,286000.000000,285590.843750,555272
2020-12-15,286500.000000,287500.000000,282500.000000,283000.000000,282595.125000,491995
2020-12-16,286500.000000,287000.000000,283000.000000,285500.000000,285091.562500,381896
2020-12-17,286000.000000,287000.000000,282000.000000,285000.000000,284592.281250,522344
2020-12-18,284000.000000,285500.000000,282000.000000,282500.000000,282095.843750,487305
2020-12-21,284000.000000,285500.000000,280000.000000,284000.000000,283593.687500,473545
2020-12-22,285000.000000,293500.000000,284000.000000,284000.000000,283593.687500,750095
2020-12-23,288500.000000,289000.000000,283000.000000,284000.000000,283593.687500,508019
2020-12-24,284500.000000,284500.000000,280000.000000,282000.000000,281596.562500,453095
2020-12-28,282000.000000,282500.000000,280000.000000,281000.000000,280598.000000,537848
2020-12-29,281500.000000,285000.000000,280500.000000,283000.000000,283000.000000,506090
2020-12-30,285000.000000,293000.000000,284000.000000,292500.000000,292500.000000,1190327
2021-01-04,291500.000000,294000.000000,285500.000000,293000.000000,293000.000000,947178
2021-01-05,291500.000000,292500.000000,286500.000000,292500.000000,292500.000000,912657
2021-01-06,292500.000000,300500.000000,289500.000000,290000.000000,290000.000000,1375856
2021-01-07,288500.000000,292000.000000,286500.000000,289500.000000,289500.000000,1155734
2021-01-08,293500.000000,312000.000000,290000.000000,312000.000000,312000.000000,3175396
2021-01-11,320000.000000,323500.000000,301000.000000,309000.000000,309000.000000,2765169
2021-01-12,305000.000000,308500.000000,292500.000000,304000.000000,304000.000000,1573299
2021-01-13,306000.000000,317500.000000,304000.000000,314000.000000,314000.000000,1894304
2021-01-14,318500.000000,326000.000000,314000.000000,318000.000000,318000.000000,1548585
2021-01-15,320500.000000,323000.000000,305500.000000,306000.000000,306000.000000,1106810
2021-01-18,304500.000000,308500.000000,300000.000000,300500.000000,300500.000000,864969
2021-01-19,303500.000000,310500.000000,299500.000000,308000.000000,308000.000000,880238
2021-01-20,313500.000000,313500.000000,302000.000000,308000.000000,308000.000000,885472
2021-01-21,316500.000000,326000.000000,316000.000000,322500.000000,322500.000000,1941446
2021-01-22,332000.000000,350000.000000,326000.000000,343500.000000,343500.000000,3303950
2021-01-25,349000.000000,353000.000000,340000.000000,349000.000000,349000.000000,1593848
2021-01-26,350500.000000,351000.000000,338000.000000,342000.000000,342000.000000,1247284
2021-01-27,347000.000000,352000.000000,339500.000000,341500.000000,341500.000000,1149246
2021-01-28,336000.000000,366000.000000,335000.000000,355000.000000,355000.000000,2285696
