Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,98.559998,99.000000,97.800003,98.769997,83.960533,6689000
2016-01-05,98.809998,99.849998,98.709999,99.449997,84.538574,4893800
2016-01-06,98.379997,99.760002,98.120003,99.480003,84.564102,5483400
2016-01-07,98.459999,98.980003,97.209999,97.570000,82.940468,5440000
2016-01-08,97.830002,98.629997,96.940002,97.209999,82.634430,4853500
2016-01-11,97.339996,97.919998,96.870003,97.440002,82.829964,5638000
2016-01-12,98.410004,98.410004,97.139999,97.620003,82.982979,5185800
2016-01-13,97.470001,97.940002,96.349998,96.500000,82.030899,5161500
2016-01-14,96.400002,97.080002,95.660004,95.809998,81.444351,6592500
2016-01-15,93.949997,94.559998,93.300003,93.930000,79.846260,8229400
2016-01-19,94.660004,96.099998,94.459999,95.769997,81.410370,6828900
2016-01-20,94.849998,95.419998,93.300003,93.769997,79.710213,7558100
2016-01-21,94.040001,94.669998,93.250000,94.470001,80.305283,6076300
2016-01-22,94.879997,96.290001,94.120003,95.849998,81.478355,6946600
2016-01-25,95.919998,96.830002,95.529999,95.940002,81.554871,4407000
2016-01-26,95.910004,97.220001,95.769997,96.320000,81.877884,3735200
2016-01-27,95.889999,97.279999,95.559998,95.940002,81.554871,5795100
2016-01-28,96.430000,97.900002,96.080002,97.449997,82.838440,5169900
2016-01-29,97.870003,99.300003,97.580002,99.300003,84.411072,7340600
2016-02-01,98.529999,99.400002,97.519997,99.029999,84.181549,3648100
2016-02-02,98.650002,98.680000,98.000000,98.209999,83.484489,3809900
2016-02-03,98.870003,99.029999,97.599998,98.720001,83.918022,5146000
2016-02-04,98.680000,98.900002,97.000000,97.389999,82.787453,5212000
2016-02-05,97.639999,97.709999,96.800003,97.320000,82.727943,5574800
2016-02-08,97.139999,97.889999,96.400002,97.519997,82.897964,4729500
2016-02-09,96.690002,98.790001,96.440002,98.279999,83.543999,4994200
2016-02-10,98.209999,98.730003,97.519997,97.620003,82.982979,4505500
2016-02-11,96.389999,97.940002,96.089996,96.900002,82.370926,5898500
2016-02-12,96.400002,98.589996,96.150002,98.489998,83.722527,5110600
2016-02-16,99.199997,99.300003,98.099998,98.599998,83.816032,4709700
2016-02-17,99.000000,99.889999,98.800003,99.550003,84.623581,4493200
2016-02-18,99.570000,99.970001,98.970001,99.620003,84.683098,3729100
2016-02-19,98.459999,100.190002,98.459999,99.580002,84.649101,4531300
2016-02-22,99.980003,100.559998,99.580002,99.870003,84.895599,4731500
2016-02-23,99.889999,100.000000,99.379997,99.540001,84.615089,3721100
2016-02-24,99.000000,99.750000,98.400002,99.680000,84.734100,5691200
2016-02-25,99.830002,100.699997,99.830002,100.669998,85.575661,4668900
2016-02-26,100.489998,100.540001,97.839996,98.360001,83.612007,6506200
2016-02-29,98.360001,99.019997,97.790001,97.820000,83.152969,5955300
2016-03-01,98.500000,99.139999,98.050003,99.089996,84.232544,5160200
2016-03-02,98.050003,98.360001,97.540001,98.330002,84.183754,4180000
2016-03-03,98.349998,99.230003,98.019997,99.160004,84.894348,4856600
2016-03-04,98.809998,100.000000,98.570000,100.000000,85.613510,7067200
2016-03-07,99.250000,99.599998,98.970001,99.250000,84.971405,5967100
2016-03-08,98.970001,100.120003,98.750000,99.739998,85.390884,4871200
2016-03-09,100.000000,100.580002,99.739998,100.199997,85.784737,5085000
2016-03-10,100.449997,100.879997,100.019997,100.779999,86.281288,5502800
2016-03-11,101.000000,101.410004,100.589996,101.309998,86.735031,5912400
2016-03-14,101.129997,101.449997,100.620003,100.650002,86.169991,3580500
2016-03-15,100.269997,101.570000,100.250000,101.150002,86.598076,3860300
2016-03-16,100.940002,101.339996,100.010002,100.830002,86.324089,4176600
2016-03-17,101.000000,102.120003,100.790001,101.870003,87.214478,5635800
2016-03-18,101.669998,101.940002,101.010002,101.290001,86.717926,7273900
2016-03-21,100.910004,102.120003,100.320000,101.540001,86.931946,4420300
2016-03-22,101.279999,101.510002,100.430000,100.769997,86.272713,3457600
2016-03-23,100.690002,101.760002,100.529999,100.809998,86.306969,3407900
2016-03-24,100.699997,100.919998,100.150002,100.680000,86.195671,3183100
2016-03-28,100.959999,101.610001,100.820000,100.980003,86.452507,3785500
2016-03-29,101.050003,101.639999,100.760002,101.370003,86.786423,3356700
2016-03-30,101.459999,102.889999,101.410004,102.690002,87.916519,4673600
2016-03-31,102.540001,103.449997,102.300003,102.480003,87.736725,5367700
2016-04-01,101.970001,103.889999,101.949997,103.779999,88.849716,4128600
2016-04-04,103.800003,103.949997,102.769997,103.820000,88.883949,4220400
2016-04-05,103.769997,103.930000,102.870003,103.099998,88.267517,3589200
2016-04-06,103.250000,103.989998,102.870003,103.919998,88.969566,4196800
2016-04-07,103.339996,103.970001,103.029999,103.599998,88.695595,6220900
2016-04-08,103.989998,105.250000,103.900002,105.080002,89.962677,6154500
2016-04-11,105.160004,105.769997,104.160004,104.300003,89.294899,5354000
2016-04-12,104.169998,105.120003,104.120003,104.910004,89.817123,3777200
2016-04-13,105.339996,105.349998,103.760002,104.120003,89.140793,3802400
2016-04-14,102.730003,104.089996,102.709999,103.160004,88.318909,5593300
2016-04-15,103.239998,103.809998,103.010002,103.769997,88.841148,4553500
2016-04-18,104.160004,104.589996,103.500000,103.720001,88.798332,7736900
2016-04-19,103.809998,104.610001,103.760002,104.320000,89.312004,4996200
2016-04-20,104.230003,104.349998,102.389999,102.440002,87.702477,4778000
2016-04-21,102.339996,102.339996,100.419998,100.989998,86.461067,7145600
2016-04-22,101.169998,102.059998,100.940002,101.980003,87.308655,5660200
2016-04-25,101.800003,102.830002,101.610001,102.800003,88.010681,3501300
2016-04-26,103.199997,103.400002,102.190002,102.599998,87.839455,3222900
2016-04-27,102.720001,103.360001,101.910004,102.629997,87.865158,3730900
2016-04-28,102.169998,103.150002,102.160004,102.970001,88.156235,4350200
2016-04-29,102.930000,103.169998,102.400002,102.959999,88.147675,4604000
2016-05-02,102.739998,103.870003,102.639999,103.430000,88.550056,3998100
2016-05-03,103.410004,103.930000,103.000000,103.559998,88.661339,3945400
2016-05-04,103.510002,104.440002,103.129997,104.019997,89.055168,3852600
2016-05-05,103.870003,104.879997,103.599998,104.209999,89.217834,3401400
2016-05-06,103.680000,104.970001,103.680000,104.959999,89.859924,3547700
2016-05-09,104.919998,105.730003,104.910004,105.279999,90.133888,4432300
2016-05-10,105.430000,106.629997,105.330002,106.570000,91.238304,3885500
2016-05-11,106.260002,106.940002,105.629997,105.720001,90.510590,3424900
2016-05-12,106.129997,106.400002,105.580002,106.099998,90.835922,3195200
2016-05-13,105.750000,106.099998,103.540001,104.180000,89.192162,7811500
2016-05-16,103.980003,104.650002,103.629997,104.129997,89.149361,4243200
2016-05-17,104.169998,104.379997,102.010002,102.370003,87.642525,5443300
2016-05-18,101.949997,102.000000,100.269997,100.910004,86.392609,6970100
2016-05-19,100.750000,101.440002,100.300003,101.330002,86.752167,4722400
2016-05-20,101.709999,101.790001,100.000000,100.099998,85.699097,5704000
2016-05-23,100.120003,100.769997,100.000000,100.419998,85.973076,4185900
2016-05-24,100.910004,101.379997,100.690002,101.089996,86.546684,3446300
2016-05-25,101.169998,101.599998,100.959999,101.089996,86.546684,3223800
2016-05-26,101.199997,101.959999,101.010002,101.900002,87.240166,4543100
2016-05-27,102.129997,102.379997,101.599998,101.959999,87.291519,2877000
2016-05-31,102.139999,102.370003,100.820000,101.169998,86.615196,6368700
2016-06-01,100.559998,101.599998,100.300003,101.570000,87.609703,4741400
2016-06-02,101.330002,102.010002,101.169998,102.000000,87.980621,3618200
2016-06-03,101.919998,102.830002,101.919998,102.529999,88.437775,4511700
2016-06-06,102.540001,103.059998,102.230003,102.699997,88.584396,2944200
2016-06-07,102.820000,103.180000,102.279999,102.489998,88.403236,4078700
2016-06-08,102.360001,103.349998,102.169998,103.180000,88.998421,2860800
2016-06-09,102.900002,103.820000,102.540001,103.660004,89.412437,3552200
2016-06-10,103.250000,103.489998,102.779999,103.309998,89.110542,3462400
2016-06-13,103.239998,103.690002,102.980003,103.059998,88.894928,4368300
2016-06-14,102.599998,103.290001,101.739998,103.230003,89.041534,4363600
2016-06-15,103.269997,103.570000,102.750000,102.860001,88.722397,3434400
2016-06-16,102.510002,103.930000,102.510002,103.849998,89.576332,3520900
2016-06-17,103.589996,103.860001,102.400002,103.410004,89.196808,5577900
2016-06-20,104.070000,104.680000,103.349998,103.370003,89.162300,3567000
2016-06-21,103.809998,104.410004,103.760002,104.080002,89.774727,3214500
2016-06-22,104.080002,104.489998,103.629997,103.739998,89.481445,3398900
2016-06-23,104.459999,104.500000,103.910004,104.440002,90.085236,3068100
2016-06-24,102.489998,103.449997,101.800003,101.980003,87.963356,8654800
2016-06-27,101.769997,102.339996,101.300003,102.129997,88.092743,6381900
2016-06-28,102.160004,102.339996,101.500000,102.139999,88.101379,5195100
2016-06-29,102.820000,103.330002,102.459999,103.120003,88.946655,4898700
2016-06-30,103.750000,106.000000,103.529999,105.940002,91.379066,7973200
2016-07-01,106.230003,106.400002,105.379997,105.629997,91.111671,4115700
2016-07-05,105.669998,106.980003,105.629997,106.419998,91.793076,5365200
2016-07-06,106.589996,106.730003,105.629997,105.919998,91.361824,6126500
2016-07-07,108.529999,109.000000,107.070000,107.489998,92.716019,9912800
2016-07-08,108.040001,108.500000,107.320000,108.269997,93.388809,6052800
2016-07-11,108.160004,109.129997,107.769997,108.910004,93.940865,6446600
2016-07-12,108.419998,109.110001,108.370003,108.790001,93.837364,4175800
2016-07-13,109.070000,110.059998,108.889999,109.910004,94.803429,5232100
2016-07-14,109.830002,110.940002,109.760002,109.959999,94.846535,4834300
2016-07-15,109.769997,110.489998,108.970001,109.660004,94.587791,5230600
2016-07-18,109.660004,109.699997,108.839996,109.209999,94.199615,3688700
2016-07-19,108.860001,109.559998,108.709999,109.529999,94.475632,3987500
2016-07-20,109.860001,109.910004,108.680000,108.919998,93.949478,3021800
2016-07-21,108.709999,108.870003,108.110001,108.580002,93.656227,2765400
2016-07-22,108.779999,109.410004,108.779999,109.190002,94.182373,2693100
2016-07-25,109.239998,109.279999,108.379997,109.019997,94.035736,3053100
2016-07-26,109.000000,109.230003,108.029999,108.199997,93.328430,3386100
2016-07-27,108.040001,108.040001,106.690002,107.480003,92.707413,4724200
2016-07-28,107.550003,108.379997,107.169998,108.129997,93.268051,3446500
2016-07-29,108.260002,109.110001,108.120003,108.919998,93.949478,3995300
2016-08-01,108.720001,109.089996,108.339996,108.930000,93.958107,3880700
2016-08-02,109.250000,109.250000,108.279999,108.720001,93.776970,3431600
2016-08-03,108.930000,108.980003,107.680000,108.040001,93.190445,3691900
2016-08-04,108.169998,108.550003,107.980003,108.419998,93.518196,3226900
2016-08-05,108.739998,109.360001,108.370003,108.660004,93.725227,3189400
2016-08-08,108.419998,108.620003,107.669998,108.139999,93.276688,3304200
2016-08-09,108.250000,108.750000,108.059998,108.279999,93.397446,2378200
2016-08-10,108.449997,108.959999,108.449997,108.820000,93.863235,2189900
2016-08-11,109.010002,109.180000,108.449997,108.480003,93.569969,2786800
2016-08-12,108.639999,108.940002,108.370003,108.589996,93.664833,2563400
2016-08-15,108.709999,108.989998,108.639999,108.720001,93.776970,2357800
2016-08-16,108.250000,108.690002,107.910004,108.000000,93.155945,2677200
2016-08-17,107.949997,108.529999,107.599998,108.470001,93.561340,2963900
2016-08-18,108.410004,108.820000,108.199997,108.279999,93.397446,2373000
2016-08-19,108.040001,108.260002,107.540001,108.169998,93.302574,2846600
